"subject","danish","trial","colour1","colour2","col1_name","col2_name","colour_distance","category","accuracy","rt"
30,"Yes",167,"[1, -0.7, -0.4]","[1, -0.85, -0.7]","pink","red",0.3,"across",1,871.617641183548
30,"Yes",168,"[1, -0.775, -0.55]","[1, -0.7, -0.4]","red","pink",0.15,"across",1,852.02491725795
30,"Yes",170,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]","red","red",0.9,"within",1,1086.80603746325
30,"Yes",171,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]","pink","red",0.45,"across",1,465.648733312264
30,"Yes",172,"[1, -1.0, -1.0]","[1, -0.85, -0.7]","red","red",0.3,"within",1,768.576692440547
30,"Yes",173,"[1, -0.55, -0.10000000000000009]","[1, -0.475, 0.050000000000000044]","red","pink",0.15,"across",1,1928.18897101097
30,"Yes",174,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]","red","pink",0.15,"across",1,946.308924932964
30,"Yes",175,"[1, -0.475, 0.050000000000000044]","[1, -0.85, -0.7]","pink","red",0.75,"across",1,1116.14423175342
30,"Yes",176,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]","red","red",0.3,"within",1,984.956670203246
30,"Yes",177,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]","red","red",1.2,"within",1,590.198291931301
30,"Yes",178,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]","red","red",0.45,"within",1,429.218110861257
30,"Yes",179,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]","red","red",1.2,"within",1,474.889400880784
30,"Yes",180,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]","red","red",1.05,"within",1,833.252626587637
31,"Yes",1,"[1, -0.7, -0.4]","[1, -0.475, 0.050000000000000044]","pink","pink",0.45,"within",1,1363.8246019982
31,"Yes",2,"[1, -0.925, -0.85]","[1, -0.32500000000000007, 0.34999999999999987]","red","pink",1.2,"across",1,1057.97648300359
31,"Yes",3,"[1, -0.925, -0.85]","[1, -0.7, -0.4]","red","pink",0.45,"across",1,1321.26539900491
31,"Yes",4,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]","red","pink",1.05,"across",1,829.245246000937
31,"Yes",5,"[1, -0.85, -0.7]","[1, -1.0, -1.0]","red","red",0.3,"within",1,866.864351002732
31,"Yes",6,"[1, -0.475, 0.050000000000000044]","[1, -0.85, -0.7]","pink","red",0.75,"across",1,758.634693003842
31,"Yes",7,"[1, -0.925, -0.85]","[1, -1.0, -1.0]","red","red",0.15,"within",1,1520.01734499936
31,"Yes",8,"[1, -1.0, -1.0]","[1, -0.925, -0.85]","red","red",0.15,"within",1,1190.49955400988
31,"Yes",9,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]","pink","pink",0.6,"within",1,998.703482007841
31,"Yes",10,"[1, -1.0, -1.0]","[1, -0.775, -0.55]","red","red",0.45,"within",1,767.563740009791
31,"Yes",11,"[1, -0.55, -0.10000000000000009]","[1, -0.4, 0.19999999999999996]","pink","pink",0.3,"within",1,719.101738999598
31,"Yes",12,"[1, -0.7, -0.4]","[1, -0.4, 0.19999999999999996]","pink","pink",0.6,"within",1,649.286804007716
31,"Yes",13,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]","red","pink",0.9,"across",1,669.765668004402
31,"Yes",14,"[1, -0.7, -0.4]","[1, -0.55, -0.10000000000000009]","pink","pink",0.3,"within",1,690.372500990634
31,"Yes",15,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.625, -0.25]","pink","pink",0.6,"within",1,585.378188989125
31,"Yes",16,"[1, -0.625, -0.25]","[1, -0.7, -0.4]","pink","pink",0.15,"within",1,729.770539997844
31,"Yes",17,"[1, -0.475, 0.050000000000000044]","[1, -0.775, -0.55]","pink","red",0.6,"across",1,592.951459009782
31,"Yes",18,"[1, -0.7, -0.4]","[1, -0.625, -0.25]","pink","pink",0.15,"within",1,594.9506140023
31,"Yes",21,"[1, -1.0, -1.0]","[1, -0.55, -0.10000000000000009]","red","pink",0.9,"across",1,765.461618007976
31,"Yes",22,"[1, -0.475, 0.050000000000000044]","[1, -0.925, -0.85]","pink","red",0.9,"across",1,535.363147006137
31,"Yes",23,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]","pink","red",1.2,"across",1,493.080069005373
31,"Yes",24,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]","red","pink",0.75,"across",1,510.867262986721
31,"Yes",25,"[1, -0.55, -0.10000000000000009]","[1, -0.475, 0.050000000000000044]","pink","pink",0.15,"within",1,1290.07045300386
31,"Yes",26,"[1, -1.0, -1.0]","[1, -0.625, -0.25]","red","pink",0.75,"across",1,526.397173001897
31,"Yes",27,"[1, -0.625, -0.25]","[1, -0.775, -0.55]","pink","red",0.3,"across",1,699.357204997796
31,"Yes",28,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]","pink","pink",0.3,"within",1,905.373935995158
31,"Yes",29,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.55, -0.10000000000000009]","pink","pink",0.45,"within",1,913.141265991726
31,"Yes",31,"[1, -0.775, -0.55]","[1, -0.925, -0.85]","red","red",0.3,"within",1,765.075289004017
31,"Yes",32,"[1, -1.0, -1.0]","[1, -0.7, -0.4]","red","pink",0.6,"across",1,678.274243007763
31,"Yes",33,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]","red","pink",0.9,"across",1,621.196321997559
31,"Yes",34,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]","pink","red",1.05,"across",1,594.710174002103
31,"Yes",35,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]","pink","red",1.2,"across",1,517.495973006589
31,"Yes",36,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]","pink","pink",0.3,"within",1,496.585934000905
31,"Yes",37,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]","pink","red",0.75,"across",1,579.023308993783
31,"Yes",39,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]","pink","pink",0.45,"within",1,1063.94484899647
31,"Yes",40,"[1, -0.625, -0.25]","[1, -0.925, -0.85]","pink","red",0.6,"across",1,619.172082006116
31,"Yes",41,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]","red","pink",0.9,"across",1,568.293215997983
31,"Yes",42,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]","pink","red",0.9,"across",1,644.181690004189
31,"Yes",43,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]","red","pink",0.45,"across",1,610.869502997957
31,"Yes",44,"[1, -0.55, -0.10000000000000009]","[1, -0.7, -0.4]","pink","pink",0.3,"within",1,508.730183006264
31,"Yes",45,"[1, -0.925, -0.85]","[1, -0.85, -0.7]","red","red",0.15,"within",1,999.390344004496
31,"Yes",46,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]","pink","pink",0.3,"within",1,568.441944007645
31,"Yes",47,"[1, -0.55, -0.10000000000000009]","[1, -0.85, -0.7]","pink","red",0.6,"across",1,570.250600008876
31,"Yes",49,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.4, 0.19999999999999996]","pink","pink",0.15,"within",1,1964.4692849979
31,"Yes",50,"[1, -0.775, -0.55]","[1, -1.0, -1.0]","red","red",0.45,"within",1,592.394456994953
31,"Yes",51,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]","pink","pink",0.75,"within",1,679.285898004309
31,"Yes",52,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -1.0, -1.0]","pink","red",1.35,"across",1,579.565634005121
31,"Yes",53,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.775, -0.55]","pink","red",0.9,"across",1,602.713478001533
31,"Yes",54,"[1, -0.85, -0.7]","[1, -0.55, -0.10000000000000009]","red","pink",0.6,"across",1,476.033593004104
31,"Yes",55,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]","pink","pink",0.45,"within",1,802.807555999607
31,"Yes",56,"[1, -0.625, -0.25]","[1, -0.85, -0.7]","pink","red",0.45,"across",1,503.046230005566
31,"Yes",57,"[1, -0.7, -0.4]","[1, -0.775, -0.55]","pink","red",0.15,"across",1,1475.55984099745
31,"Yes",58,"[1, -0.4, 0.19999999999999996]","[1, -0.925, -0.85]","pink","red",1.05,"across",1,553.712057007942
31,"Yes",59,"[1, -0.85, -0.7]","[1, -0.7, -0.4]","red","pink",0.3,"across",1,576.854975995957
31,"Yes",60,"[1, -0.85, -0.7]","[1, -0.625, -0.25]","red","pink",0.45,"across",1,585.685300000478
31,"Yes",61,"[1, -0.925, -0.85]","[1, -0.55, -0.10000000000000009]","red","pink",0.75,"across",1,593.698374999803
31,"Yes",62,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]","red","pink",1.05,"across",1,477.609848006978
31,"Yes",63,"[1, -0.7, -0.4]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.75,"within",1,517.709232997731
31,"Yes",64,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.6,"within",1,974.003745999653
31,"Yes",65,"[1, -0.775, -0.55]","[1, -0.7, -0.4]","red","pink",0.15,"across",1,556.029672996374
31,"Yes",66,"[1, -0.925, -0.85]","[1, -0.625, -0.25]","red","pink",0.6,"across",1,489.155145987752
31,"Yes",67,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]","red","pink",1.35,"across",1,501.267471001484
31,"Yes",68,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]","red","pink",0.6,"across",1,665.950626003905
31,"Yes",69,"[1, -1.0, -1.0]","[1, -0.85, -0.7]","red","red",0.3,"within",1,861.020329990424
31,"Yes",70,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]","pink","red",0.45,"across",1,543.305200000759
31,"Yes",71,"[1, -0.4, 0.19999999999999996]","[1, -0.85, -0.7]","pink","red",0.9,"across",1,606.984245998319
31,"Yes",72,"[1, -0.85, -0.7]","[1, -0.32500000000000007, 0.34999999999999987]","red","pink",1.05,"across",1,432.892434007954
31,"Yes",73,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.45,"within",1,1926.14829201193
31,"Yes",74,"[1, -0.925, -0.85]","[1, -0.775, -0.55]","red","red",0.3,"within",1,550.567119993502
31,"Yes",75,"[1, -0.85, -0.7]","[1, -0.925, -0.85]","red","red",0.15,"within",1,595.821863011224
31,"Yes",76,"[1, -0.4, 0.19999999999999996]","[1, -0.775, -0.55]","pink","red",0.75,"across",1,668.978548012092
31,"Yes",77,"[1, -0.7, -0.4]","[1, -1.0, -1.0]","pink","red",0.6,"across",1,590.946146010538
31,"Yes",78,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]","pink","pink",0.15,"within",1,571.288423001533
31,"Yes",79,"[1, -0.4, 0.19999999999999996]","[1, -0.625, -0.25]","pink","pink",0.45,"within",1,532.598899997538
31,"Yes",80,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]","pink","red",1.05,"across",1,553.66763100028
31,"Yes",81,"[1, -0.7, -0.4]","[1, -0.925, -0.85]","pink","red",0.45,"across",1,569.213612005115
31,"Yes",82,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]","pink","pink",0.15,"within",1,1062.71024700254
