,subject,danish,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
111,PernilleKJ,Yes,112,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]",pink,pink,0.7499999999999999,within,1,384.421280992683
112,PernilleKJ,Yes,113,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]",red,pink,1.0499999999999998,across,1,941.3371089613065
113,PernilleKJ,Yes,114,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.44999999999999996,within,1,1167.6600899663754
114,PernilleKJ,Yes,115,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]",pink,red,1.2,across,1,875.7180509855971
115,PernilleKJ,Yes,116,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]",red,pink,1.2,across,1,533.4015669650398
116,PernilleKJ,Yes,117,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]",pink,pink,0.1499999999999999,within,1,616.5820690221153
117,PernilleKJ,Yes,118,"[1, -0.475, 0.050000000000000044]","[1, -0.925, -0.85]",pink,red,0.9,across,1,544.2727219779044
118,PernilleKJ,Yes,119,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15000000000000013,within,0,882.8962499974295
119,PernilleKJ,Yes,120,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]",pink,pink,0.45000000000000007,within,1,732.7614409732632
120,PernilleKJ,Yes,121,"[1, -0.925, -0.85]","[1, -0.7, -0.4]",red,pink,0.44999999999999996,across,1,547.6357819861732
121,PernilleKJ,Yes,122,"[1, -0.7, -0.4]","[1, -0.4, 0.19999999999999996]",pink,pink,0.6,within,1,591.1502909730189
122,PernilleKJ,Yes,123,"[1, -0.7, -0.4]","[1, -0.475, 0.050000000000000044]",pink,pink,0.45000000000000007,within,1,493.9820889849216
123,PernilleKJ,Yes,124,"[1, -0.775, -0.55]","[1, -0.7, -0.4]",pink,pink,0.15000000000000002,within,1,843.6124440049753
124,PernilleKJ,Yes,125,"[1, -0.55, -0.10000000000000009]","[1, -0.7, -0.4]",pink,pink,0.29999999999999993,within,1,616.2263270234689
125,PernilleKJ,Yes,126,"[1, -0.475, 0.050000000000000044]","[1, -0.4, 0.19999999999999996]",pink,pink,0.1499999999999999,within,0,1178.874084027484
126,PernilleKJ,Yes,127,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]",pink,pink,0.2999999999999998,within,1,1148.069357033819
